labour_id,Name,Age,skill,Gender,Latitudes,Longitudes,Income,Score,Distance,Intensity
1,shyam,25,3,0,23.769,86.323,500,43,20,6
2,babu rao,22,7,0,23.76,86.495,700,75,9,5
3,shyam,53,8,0,23.817,86.443,300,32,18,5
4,anshuman,42,8,0,23.825,86.462,500,89,4,8
5,shyam,19,1,1,23.784,86.3,400,40,15,4
6,ankan,56,1,0,23.651,86.485,400,32,24,9
7,babu rao,41,10,1,23.658,86.452,500,35,22,1
8,ankan,58,6,1,23.794,86.402,1000,45,6,1
9,shreyash,46,9,1,23.761,86.499,500,85,12,5
10,anshuman,33,6,1,23.731,86.344,900,14,18,2
11,shreyash,48,8,1,23.735,86.349,600,70,4,2
12,tanmay,57,8,1,23.833,86.451,400,84,7,6
13,world,43,1,1,23.749,86.442,500,93,10,1
14,babu rao,37,8,0,23.668,86.378,800,24,20,9
15,babu rao,46,8,1,23.846,86.359,300,33,14,1
16,world,32,1,0,23.83,86.431,100,42,15,9
17,shreyash,33,7,1,23.784,86.461,200,45,20,3
18,shreyash,37,10,1,23.811,86.312,200,91,8,2
19,ankan,27,7,1,23.815,86.324,800,33,19,2
20,anshuman,50,10,1,23.742,86.402,1000,14,22,4
21,tanmay,40,6,1,23.697,86.394,1000,14,19,4
22,babu rao,49,10,1,23.697,86.329,800,71,9,2
23,hello,58,8,0,23.818,86.442,700,63,11,6
24,babu rao,32,4,1,23.774,86.392,700,77,8,5
25,tanmay,26,6,1,23.848,86.453,400,45,13,3
26,shreyash,48,3,0,23.779,86.494,700,23,18,6
27,shreyash,42,5,1,23.67,86.314,800,69,4,4
28,hello,51,4,1,23.699,86.494,600,16,13,4
29,hello,23,10,0,23.699,86.318,700,79,9,5
30,anshuman,39,9,1,23.672,86.474,400,37,21,2
31,anshuman,35,4,1,23.681,86.342,400,97,9,6
32,ankan,19,2,1,23.792,86.466,500,44,18,2
33,ankan,25,6,1,23.688,86.492,200,96,6,6
34,babu rao,52,6,0,23.837,86.385,700,62,5,7
35,anshuman,38,1,1,23.848,86.373,200,35,15,5
36,shyam,31,1,1,23.768,86.317,300,96,4,5
37,raju,44,7,1,23.688,86.42,100,34,13,3
38,babu rao,48,5,0,23.799,86.44,400,86,7,8
39,anshuman,59,3,0,23.682,86.368,400,30,23,6
40,tanmay,47,7,0,23.834,86.448,800,20,20,10
41,anshuman,26,7,0,23.71,86.473,300,45,18,8
42,babu rao,29,1,0,23.832,86.323,900,17,13,9
43,shreyash,21,6,0,23.84,86.455,900,58,7,8
44,tanmay,25,4,0,23.767,86.382,200,98,10,8
45,hello,32,3,0,23.715,86.441,400,97,4,8
46,anshuman,36,8,0,23.754,86.313,400,90,8,5
47,tanmay,24,7,0,23.738,86.398,1000,58,10,9
48,babu rao,54,10,0,23.668,86.494,100,31,16,6
49,ankan,43,7,0,23.795,86.406,1000,13,21,6
50,babu rao,42,2,0,23.683,86.365,200,90,11,7
51,raju,28,7,1,23.849,86.374,1000,60,11,3
